cardId,dbfId,name,cardSet,type,faction,rarity,cost,runeCost,attack,health,durability,spellSchool,text,flavor,artist,collectible,elite,race,img,imgGold,locale
EX1_363,1373,Blessing of Wisdom,Classic,Spell,,Common,1,,,,,Holy,"Choose a minion. Whenever it attacks, draw a card.",Apparently with wisdom comes the knowledge that you should probably be attacking every turn.,Chippy,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d83650b1e5d029060de522ea0f9ee36ba52697476775ee80fb9b7ee2439498d0.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/82af2b83ef81941c330ff7d0c43507805c60d0b66afee533c5df3d274c0b0132.png,enUS
CS2_059,469,Blood Imp,Classic,Minion,Neutral,Common,1,,0,1,,,"[x]  <b>Stealth</b>. At the end of your  \nturn, give another random\n friendly minion +1 Health.",Imps are content to hide and viciously taunt everyone nearby.,Bernie Kang,True,,Demon,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/216abe49f400d3606fa47f0fd6000d4b9b4146ed587ce6e811f59c10d0e413f4.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b626442cc98b0725289f9e5fbb149857421a177b4c18e3e88b365d5fdc9b4520.png,enUS
NEW1_025,997,Bloodsail Corsair,Classic,Minion,,Rare,1,,1,2,,,[x]<b>Battlecry:</b> Remove\n1 Durability from your\nopponent's weapon.,"Every pirate uses the same four digits to access Automated Gold Dispensers.  It's called the ""Pirate's Code"".",Randy Gallegos,True,,Pirate,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bc1759e713912942754fc8226ae988f75b7ad50260bbe0aa67a9d9d7629178e3.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bb793653d941b57850cc50b8514461c59a750d5f6059d2a9e3bf10e45520ba4e.png,enUS
CS2_073,268,Cold Blood,Classic,Spell,Neutral,Common,1,,,,,,Give a minion +2 Attack. <b>Combo:</b> +4 Attack instead.,"""I'm cold blooded, check it and see!""",Alex Horley Orlandelli,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d277ffe4806e759e51e10ed7acfcd4f0f76bf15dbeed2aa8c088ced12885f9b0.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/933d7920318238281cfa06f731891e43ead42cb0599140a8cbc1ca13748b7e2f.png,enUS
EX1_128,990,Conceal,Classic,Spell,Neutral,Common,1,,,,,Shadow,Give your minions <b>Stealth</b> until your next_turn.,Rogues conceal everything but their emotions.  You can't get 'em to shut up about feelings.,Steve Hui,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/6ca270ad2ade78d4d323c78a1b632d2536a6c313c4e3bd081e831683f7023326.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/308be3603bc257d5b34da1e8f5c07c0bd76c53e10e13607639301d348b0dc4ce.png,enUS
EX1_243,618,Dust Devil,Classic,Minion,Neutral,Common,1,,3,1,,,<b>Windfury</b>. <b>Overload:</b> (2),Westfall is full of dust devils. And buzzards. And crazed golems. And pirates. Why does anyone live here?,Raymond Swanland,True,,Elemental,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/57a360925038d99a463c8249f29de60ddf1bc5126466db80dd82c4b1c5ec2217.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e77180e14b7ad0da3e2867a9845463828d39a06c16c87d8a3d4590ce58d2c0a1.png,enUS
EX1_245,767,Earth Shock,Classic,Spell,Neutral,Common,1,,,,,Nature,"<b>Silence</b> a minion, then deal $1 damage to it.","Earth Shock? Shouldn't it be ""Azeroth Shock""?",Kevin Chen,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/dd5f0ec57096c82fb4e6914f226f1b93169083c3cfd906f4ecd203ad7fe421fa.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5bf091291feb8487de399ae13c48498819b89f95c9002e24a3f78a1d602af0d0.png,enUS
EX1_132,462,Eye for an Eye,Classic,Spell,Neutral,Common,1,,,,,Holy,"<b>Secret:</b> When your hero takes damage, deal_that much damage to the enemy hero.",Justice sometimes takes the form of a closed fist into a soft cheek.,James Ryman,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/858cecdd77736da056eef77c376c34138f071589a108f34241fbdd41858b16dc.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/721f47f3a193d6d67c23372fb7f9ee491c3b21f2661cf3673a48d43e5342a214.png,enUS
EX1_319,1090,Flame Imp,Classic,Minion,Neutral,Common,1,,3,2,,,<b>Battlecry:</b> Deal 3 damage to your hero.,Imps like being on fire.  They just do.,Alex Horley Orlandelli,True,,Demon,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ffc7fd3ecb20b0a2c454885dc5c1ce8a9fff3165c028345d28b8599f7a6efedb.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/055d3f52f86380a0d67609f55b6ab1aad3f40e655e2164eade078513a99153cd.png,enUS
EX1_544,896,Flare,Classic,Spell,Neutral,Rare,1,,,,,,All minions lose <b>Stealth</b>. Destroy all enemy <b>Secrets</b>. Draw a card.,"Not only does it reveal your enemies, but it's also great for parties!",Tyler Walpole,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0659d434768f49fc0c5d138723bc36d1b25e87935f6e2a3982259bdeef9e58ca.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0d1678aa083d54b021988672a48439cc5c9ac4a8f1c1f25aa11b679cffbccc84.png,enUS
EX1_251,299,Forked Lightning,Classic,Spell,Neutral,Common,1,,,,,Nature,Deal $2 damage to 2_random enemy minions. <b>Overload:</b> (2),"If you combine it with Spooned Lightning and Knived Lightning, you have the full dining set.",Ralph Horsley,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/73b113cd9552b66f608e0cce840f519444308af511f6396c7fddd57d5ed97c4b.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1d5990c48d4191f603481ea936f267e8c3331048b5d010e3b49bb36ead1c4366.png,enUS
NEW1_017,443,Hungry Crab,Classic,Minion,,Epic,1,,1,2,,,<b>Battlecry:</b> Destroy a Murloc and gain +2/+2.,Murloc.  It's what's for dinner.,Jaemin Kim,True,,Beast,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f6d11eac5b502082f3d684a2ba309b258de7c3db139663182485aca80797ab18.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/249599441dfa0954ddaef6a205a57ced78488353226208f64c49301549cfb7b4.png,enUS
CS2_031,172,Ice Lance,Classic,Spell,Neutral,Common,1,,,,,Frost,"<b>Freeze</b> a character. If it was already <b>Frozen</b>, deal $4 damage instead.","The trick is not to break the lance.  Otherwise, you have ""Ice Pieces.""  Ice Pieces aren't as effective.",Alex Horley Orlandelli,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/549715e9f034dd29ace24ee02b3cb3cdd6dea74bcae51ff12df05cde2cda79bc.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a6fe2ec18002dca4d5714f04f8f712b93922a7bd30e3e18c061d1b73ee6e42c4.png,enUS
CS1_129,376,Inner Fire,Classic,Spell,Neutral,Common,1,,,,,,Change a minion's Attack to be equal to its Health.,Good idea: Buffing your minions.  Bad idea: Starting a conversation in the Barrens.,Steve Prescott,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b015e6ba0270b54191f25ce36146f9ab306a5b83423892a986e948196ade4425.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/aea389f3610395a410d1751a977cdcf52578f3237de6e48205a7393e39606ee5.png,enUS
EX1_029,658,Leper Gnome,Classic,Minion,Neutral,Common,1,,2,1,,,<b>Deathrattle:</b> Deal 2 damage to the enemy_hero.,"He really just wants to be your friend, but the constant rejection is starting to really get to him.",Glenn Rane,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/0e6efc6dd04dcd81b048a0db398b0fe7d88ed241f78000cc553efe087e4d55ca.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/74d509134396e23420536f9bc5a4ae88d013d12d38842e2e7be10db28d18e9ba.png,enUS
EX1_238,505,Lightning Bolt,Classic,Spell,Neutral,Common,1,,,,,Nature,Deal $3 damage. <b>Overload:</b> (1),Lightning Bolt! Lightning Bolt! Lightning Bolt!,Daarken,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5608847466e57f4f64fa536724e0151c706a3dc379d9b91fc5b188743ed7ba8e.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/46377e0c83949037e5ae2f18e67762f410357c9703d4606ecdd863de96db15c5.png,enUS
EX1_001,1655,Lightwarden,Classic,Minion,,Rare,1,,1,2,,,"Whenever a character is healed, gain +2 Attack.",She’s smaller than her sisters Mediumwarden and Heavywarden.,Erik Ko,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d0e2b0db4735c1e3988f5a1c86af7446b655142e6196e197da40e031506ed608.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2b8094540679887d00cde94de5d7978e63c101969425c7a584ca2f96bce8e4b6.png,enUS
NEW1_012,405,Mana Wyrm,Classic,Minion,,Common,1,,1,3,,,"Whenever you cast a spell, gain +1 Attack.","These wyrms feed on arcane energies, and while they are generally considered a nuisance rather than a real threat, you really shouldn't leave them alone with a bucket of mana.",Blizzard Cinematics,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/091a588eb7f48b22aa8e2d4ce3ec8c0166b544b80a2abca4ea79973e4d363932.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5569b02471195296541aac75b50d99e746cb570cea55e6b48112e5019f4d157f.png,enUS
EX1_509,475,Murloc Tidecaller,Classic,Minion,Neutral,Rare,1,,1,2,,,"Whenever you summon a Murloc, gain +1 Attack.",This guy gets crazy strong at family reunions.,Jaemin Kim,True,,Murloc,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a6895beb3d331bd5f6568be7d6bd6da5c6dc1663bdf56950acd7a81fa086f55b.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7292b7e4b0f367a7cebc772f1e29f2432096451eb04e5b9dc864d5e4a6bb92fb.png,enUS
EX1_161,233,Naturalize,Classic,Spell,Neutral,Common,1,,,,,Nature,Destroy a minion.\nYour opponent draws 2_cards.,Another one bites the dust.,Leo Che,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/db883db2ceaab06742508e33f8d0181b0707d85df0ce0a311bfe838266ab41ce.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7b5d4a8200eb39b0175fa39f8cf9c39bd9858133c7361bc91676bb11acbd3ba8.png,enUS
EX1_130,584,Noble Sacrifice,Classic,Spell,Neutral,Common,1,,,,,,"<b>Secret:</b> When an enemy attacks, summon a 2/1 Defender as the new target.","We will always remember you, ""Defender!""",Zoltan & Gabor,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/15ce40e8747be01b3f97c3b6d0d651299bf1ca455477b9bcde4dbd784cdb1103.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/383cf6db028ef504682566ae1fcfd18b5c575def12cfbac42bc2c3addcedd43e.png,enUS
EX1_316,846,Power Overwhelming,Classic,Spell,Neutral,Common,1,,,,,Shadow,"Give a friendly minion +4/+4 until end of turn. Then, it dies. Horribly.",We cannot even describe how horrible the death is.  It's CRAZY bad!  Maybe worse than that.  Just don't do it.,Tom Baxa,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c79483d0502f4f972aa53131dd748aa1de57add152a09e10f373daaa7e67feb4.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/981b21a8457d27a07931622a0952f253529652e49109afcb1772af12fdfdf68f.png,enUS
EX1_136,140,Redemption,Classic,Spell,Neutral,Common,1,,,,,Holy,"<b>Secret:</b> When a friendly minion dies, return it to life with 1 Health.",I am not sure how you get demptioned the first time.  It’s a mystery!,Ittoku,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/21ae746d9d9161adcef713da8e0318b1b8c5fac1a35b11eed90f71ad99764f27.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c0c699683c1b0766a91df67e530b671744042277a4fd659c4acfd53638672355.png,enUS
EX1_379,232,Repentance,Classic,Spell,Neutral,Common,1,,,,,Holy,"<b>Secret:</b> After your opponent plays a minion, reduce its Health to 1.",Repentance often comes in the moment before obliteration. Curious.,Gonzalo Ordonez,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ec28d8806a6f9587477e26a40372260f7e57833f522093ab1d6498689c722b17.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/86bc43986864d435e7aef82c9ed229b8a91dbb17e6525b1480e61663b7e5ac11.png,enUS
EX1_578,481,Savagery,Classic,Spell,Neutral,Rare,1,,,,,,Deal damage equal to your hero's Attack to a minion.,"It is true that some druids are savage, but others still enjoy a quiet moment and a spot of tea.",Dave Rapoza,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2e0e30208badfb290f9bfce0c62cdbfbee664068515123e3b0dcbf3ce19f7d32.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/97fa3ea332dcb6fc8874fd852423638759fefc51b6dd1553f13f959b6575e792.png,enUS
EX1_080,158,Secretkeeper,Classic,Minion,Alliance,Rare,1,,1,2,,,"Whenever a <b>Secret</b> is played, gain +1/+1.",Where is Mankrik’s wife? She’ll never tell.,Zoltan Boros,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/190ec73755f30013a840f740835edfe0a5933c1c222c58bfe6097e051fb76593.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/10307ce31e589e491b29a8519f8297e0eae3fd68568034c05fde3cd7c603f9ff.png,enUS
EX1_410,546,Shield Slam,Classic,Spell,Neutral,Epic,1,,,,,,Deal 1 damage to a minion for each Armor you have.,"""What is a better weapon? The sharp one your enemies expect, or the blunt one they ignore?"" - The Art of Warrior, Chapter 9",Raymond Swanland,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2137204145e02052cace891ef2bb0c3e15dd3a43a3cd9e494d1714032e5dfba1.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/e8221b71669de58de3e692311ef760b433e365024dcd93c38139f3a0b5bd5c17.png,enUS
EX1_405,866,Shieldbearer,Classic,Minion,Neutral,Common,1,,0,4,,,<b>Taunt</b>,Have you seen the size of the shields in this game??  This is no easy job.,Carl Critchlow,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/4168e70c56a55a5ef8a945b58f5a3891cfb5ef567fe92aa2a35155425622f4ac.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/24d0d7987d78be6744f6ec894d8f727cfb3c2f4a587585d669119065b7651c0f.png,enUS
EX1_391,1074,Slam,Classic,Spell,Neutral,Common,1,,,,,,"Deal $2 damage to a minion. If it survives, draw a card.","""Dun da dun, dun da dun"": if you've heard an ogre sing this, it's too late.",E. M. Gist,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/26691b4301e5893cd452712e87e3df4665618503530c363b01f6061788064b68.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ed6b96a39d230b8577cf4d9847fe969690dc4ea699aff6fd94132d93b28ed831.png,enUS
CS2_146,724,Southsea Deckhand,Classic,Minion,Alliance,Common,1,,2,1,,,Has <b>Charge</b> while you have a weapon equipped.,"Pirates are into this new fad called ""Planking"".",Dan Brereton,True,,Pirate,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8acc684d009151aee29be9c031029d3cc3fd292bf9f2f9cc36b104496186d087.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d24e4c2af2536ec554b803d841e096f6e07d668b5343186527c941db09f97057.png,enUS
EX1_409,511,Upgrade!,Classic,Spell,Neutral,Rare,1,,,,,,"If you have a weapon, give it +1/+1. Otherwise equip a 1/3 weapon.",Easily worth 50 DKP.,Matt Cavotta,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a73c4f7d1e661d8d8b53c0412162fd6672bacc9f4503eb781be54e9bdd6b3ffa.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/c303854771ce0d87c39cdfe69d5fac54d72c90f05c53fed473c5a7a1af0fbc66.png,enUS
EX1_010,994,Worgen Infiltrator,Classic,Minion,Alliance,Common,1,,2,1,,,<b>Stealth</b>,"If you want to stop a worgen from infiltrating, just yell, ""No! Bad boy!""",Raymond Swanland,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/30f2fa42d000ee3b5b94459b8f735623d862fdf6d6a06648f3b0505f21600f64.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/262bb56969687e0c0d3f8c0542bae820013774279adc4c2a48d151c40f82c718.png,enUS
CS2_169,641,Young Dragonhawk,Classic,Minion,Horde,Common,1,,1,1,,,<b>Windfury</b>,They were the inspiration for the championship Taurenball team: The Dragonhawks.,Greg Hildebrandt,True,,Beast,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/064a60867a01bc7ee1cb0b6742712907689b6198224f2e48cfbacb9c0e8b2cee.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5520d182d388743a055a9a994b5de088e60f95b541ddd526dd4158f76185f2d3.png,enUS
EX1_004,1634,Young Priestess,Classic,Minion,,Rare,1,,2,1,,,"At the end of your turn, give another random friendly minion +1 Health.",She can't wait to learn Power Word: Fortitude Rank 2.,Vance Kovacs,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a402df1ea71cc75a52cea25e40df4864dc198fb4b0b638add1835eba38d965a8.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/7dd7d76624121b036e8b4d63845cf745e7b5e062e2bace0bf044570ae7a5f193.png,enUS
EX1_393,790,Amani Berserker,Classic,Minion,Neutral,Common,2,,2,3,,,Has +3 Attack while damaged.,"If an Amani berserker asks ""Joo lookin' at me?!"", the correct response is ""Nah, mon"".",Chippy,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5672043216b7f7c3b953c22fd9c8ad53059afc7ce00117d06bb0ec59029ed8b1.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d234c375c56a8bd6169492b38f4af07beb96720e7f27e956bd6576f92429c55a.png,enUS
CS2_038,404,Ancestral Spirit,Classic,Spell,Neutral,Rare,2,,,,,,"Give a minion ""<b>Deathrattle:</b> Resummon this minion.""",It was just a flesh wound.,Zoltan & Gabor,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9cef2d0116f1681fe8d89c27391666ea68995eb2272a4695a854b641cea8fcf4.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/8ac7fac05bb5ff69909e49fec98373635eb34f7263bf059b47280ff7b087761c.png,enUS
EX1_045,605,Ancient Watcher,Classic,Minion,Alliance,Rare,2,,4,5,,,Can't attack.,Why do its eyes seem to follow you as you walk by?,Richard Wright,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/bbf3d377ce693b204821ee31618e4adbc43203f50aa4b421878fe82658ed1b75.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f7cea4e352c230c4d6d41b0434a6d290b46faadece718fac44a6fb2d9a61ca43.png,enUS
EX1_362,1022,Argent Protector,Classic,Minion,Neutral,Common,2,,3,2,,,<b>Battlecry:</b> Give a friendly minion <b>Divine Shield</b>.,"""I'm not saying you can dodge fireballs.  I'm saying with this shield, you won't have to.""",Doug Alexander,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/138af083aa5e2ad08c03bf0706dd1cc9066181d2bb916a34e098365bfc194ba9.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/28bd0255a39419b60d2cc22e317a0805de6cc83505e7ac7ecca1f6f717f0e83b.png,enUS
EX1_402,596,Armorsmith,Classic,Minion,Neutral,Rare,2,,1,4,,,"Whenever a friendly minion_takes damage, gain 1 Armor.",She accepts guild funds for repairs!,Greg Hildebrandt,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/a22fb862de357160801d1871929b7001a257d270818b20215e25ee7f2deddac6.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/9e782ccc602bdd99b4bd65a21b88d0b10d874f0c7987691b49d7af07c4d9d402.png,enUS
EX1_392,400,Battle Rage,Classic,Spell,Neutral,Common,2,,,,,,Draw a card for each damaged friendly character.,"""You won't like me when I'm angry.""",Alex Horley Orlandelli,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/d58c9ad711ffeb46cab3320f6486d14974d448012eaf2a605f6c24e428e820a3.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/2f12303403779100eea1bf6d8d418c0a50d4fe082dd21a7d93296bb706d6a73d.png,enUS
EX1_126,282,Betrayal,Classic,Spell,Neutral,Common,2,,,,,,Force an enemy minion to deal its damage to the minions next to it.,"Everyone has a price. Gnomes, for example, can be persuaded by stuffed animals and small amounts of chocolate.",Lucas Graciano,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/ccb8bf4bccd43bdeaa5093ce765014314612e2cba94cbac6e701fb35d0e45132.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/b039238c8d974ffc21ec2d00fdc230c28920f402084acd68fb707c8502b252f6.png,enUS
CS2_233,1064,Blade Flurry,Classic,Spell,Neutral,Rare,2,,,,,,Destroy your weapon and deal its damage to all enemy minions.,"""Look, it's not just about waving daggers around really fast.  It's a lot more complicated than that."" - Shan, Rogue Trainer",Hideaki Takamura,True,,,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/1d47bd575aec75cddd3226109741dcef79a8bfd135612162518b63396889b993.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/f4cffad5076acf459b4e26ba5b36c97c2cde36127903e7475027d69a6d28c36d.png,enUS
EX1_012,749,Bloodmage Thalnos,Classic,Minion,Neutral,Legendary,2,,1,1,,,<b>Spell Damage +1</b>\n<b>Deathrattle:</b> Draw a card.,He's in charge of the Annual Scarlet Monastery Blood Drive!,Alex Horley Orlandelli,True,True,Undead,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/da38ca86d8dd453e55877fa4d1296bb2393f9ceaa51300f67529520dd4a64894.png,https://d15f34w2p8l1cc.cloudfront.net/hearthstone/5dba1049236c558a67d8163134d155a2d80a6e3d83bd21127802065291dd1394.png,enUS
